ds,yhat,yhat_lower,yhat_upper,y,type
2014-05-20,16.776848120490484,-110.84030792287435,140.13703654070804,101.0,historical
2014-05-21,43.41988880356363,-82.35042889767165,173.279282807575,71.0,historical
2014-05-22,31.06160396555719,-97.45220471227303,160.27701964437102,48.0,historical
2014-05-23,46.728387154778574,-75.57132765969111,171.3283345029912,40.0,historical
2014-05-24,102.62603192074293,-21.092970867674804,224.46362454513837,93.0,historical
2014-05-25,62.123576258090374,-69.82845605591284,188.4492186174246,45.0,historical
2014-05-26,39.17328638113835,-84.17708484852012,166.33084465047463,58.0,historical
2014-05-27,42.261811902258245,-76.46139733525669,175.86975538527588,53.0,historical
2014-05-28,72.19327167664858,-61.8643611577372,195.0253208164738,42.0,historical
2014-05-29,62.63365433517621,-71.35676683720604,197.64718735993702,52.0,historical
2014-05-30,80.55837794624911,-44.13468248227122,205.23171979676528,29.0,historical
2014-05-31,138.1337112411342,20.88526334258535,274.44831445833887,91.0,historical
2014-06-01,98.70138468097953,-24.920869670221727,227.44414744509007,75.0,historical
2014-06-02,76.19906247296424,-47.64583797676395,209.29353220786948,75.0,historical
2014-06-03,79.11169721240653,-53.4157312942726,201.20268975209834,179.0,historical
2014-06-04,108.25452283404125,-19.159606540300242,254.10715545981472,252.0,historical
2014-06-05,97.31707321460706,-30.16746493926384,221.14212088216257,202.0,historical
2014-06-06,113.31044298770189,-17.536795518526223,237.69721358824944,161.0,historical
2014-06-07,168.44669996819624,39.294536637103626,299.58572482685,331.0,historical
2014-06-08,126.12342004549348,-0.2617329962830033,255.27354622604545,271.0,historical
2014-06-09,100.34242467752327,-23.224188805354196,221.76101658172428,146.0,historical
2014-06-10,99.65958606599307,-19.54395285155475,229.28260260017228,2.0,historical
2014-06-11,124.9661314879161,-8.606850043939705,247.13429002566608,2.0,historical
2014-06-12,110.03087510518932,-14.334687965646722,230.09549605137585,0.0,historical
2014-06-13,121.94527506656796,-11.604331958527654,251.50195811495698,0.0,historical
2014-06-14,173.0020794783108,47.79671099927807,291.9525590201307,0.0,historical
2014-06-15,126.67695694991328,-0.5996882959463627,252.12316419300333,13.0,historical
2014-06-16,97.04585488581378,-23.956613292433453,226.8457226220514,30.0,historical
2014-06-17,92.73318213871713,-37.258773447885964,220.853470768847,34.0,historical
2014-06-18,114.69164768244536,-14.58465977246664,249.5088648156713,8.0,historical
2014-06-19,96.7432177908954,-29.54754926649192,226.38924483234865,67.0,historical
2014-06-20,106.02311879572322,-18.68351221383053,238.66623976067316,41.0,historical
2014-06-21,154.85767263327358,26.09878279573128,284.7270093165537,89.0,historical
2014-06-22,106.74537832001934,-22.63439205467327,235.20781914426848,49.0,historical
2014-06-23,75.77399333260351,-48.316728408551924,204.45219038680824,62.0,historical
2014-06-24,70.56871543436596,-58.095345305597945,197.43858234350193,81.0,historical
2014-06-25,92.07229357520455,-35.466733935264834,219.95015382115793,42.0,historical
2014-06-26,74.08652046140557,-54.29877177438106,198.9766400662119,63.0,historical
2014-06-27,83.71701738834204,-54.32347960140227,215.48705210943896,107.0,historical
2014-06-28,133.25207593410371,8.966652640300019,258.8155662912875,83.0,historical
2014-06-29,86.14494148625157,-35.16168720866099,210.7881412034191,102.0,historical
2014-06-30,56.4322596213339,-73.92191631758661,193.45714723949845,62.0,historical
2014-07-01,52.683748982575835,-77.33320194880685,175.22977291317332,29.0,historical
2014-07-02,75.78388942225683,-52.17919445639059,215.65505085577766,63.0,historical
2014-07-03,59.47503621500734,-73.58758695894606,193.1932752939668,97.0,historical
2014-07-04,70.80382831687393,-52.502505144027275,200.65954464775672,136.0,historical
2014-07-05,122.00161291735859,-5.404253373322232,247.51555030364685,335.0,historical
2014-07-06,76.50795573003681,-56.290373683408845,201.56503244401134,299.0,historical
2014-07-07,48.27129233558871,-82.8834491847986,176.57905315789566,5.0,historical
2014-07-08,45.81900349447956,-79.75762079974379,175.5621692215103,2.0,historical
2014-07-09,70.00041810475548,-56.87531792149766,191.97743135102746,9.0,historical
2014-07-10,54.53075618671289,-70.82707899279318,176.22773457522692,9.0,historical
2014-07-11,66.4381346237066,-59.63431201591934,214.47402603267864,0.0,historical
2014-07-12,117.94434438131447,-12.180981211661212,252.554699061266,0.0,historical
2014-07-13,72.44873631323377,-49.73374306106501,212.62134462353114,0.0,historical
2014-07-14,43.94789790707382,-79.24858542715224,178.5750986197713,0.0,historical
2014-07-15,40.98615615423715,-88.59549672782744,160.023488416601,0.0,historical
2014-07-16,64.43767771935956,-62.25998597889289,186.53553185715938,0.0,historical
2014-07-17,48.049570935321555,-83.95591442295711,175.55538967490764,0.0,historical
2014-07-18,58.88786271131086,-71.1378567501363,187.82115117604255,0.0,historical
2014-07-19,109.21708893196222,-22.918328263991203,236.42003310638935,0.0,historical
2014-07-20,62.48286939487461,-56.30370452409607,192.43051867761577,0.0,historical
2014-07-21,32.73018675693469,-95.89324744123954,157.5272703965294,0.0,historical
2014-07-22,28.552443922224832,-101.86366053019533,152.58550019786853,2.0,historical
2014-07-23,50.87211138022788,-67.67562497489762,175.82800531580622,0.0,historical
2014-07-24,33.48240931993502,-95.794368313412,155.86860090015495,0.0,historical
2014-07-25,43.49193678967515,-87.27830558595582,176.7678563862506,15.0,historical
2014-07-26,93.20302346989227,-28.479205621669916,215.0686236592361,9.0,historical
2014-07-27,46.093208913124116,-83.77099924234192,177.08282235558406,13.0,historical
2014-07-28,16.232598415791323,-116.09941071535779,136.76535314585132,15.0,historical
2014-07-29,12.232194751342561,-107.73381454937079,134.21023004656467,26.0,historical
2014-07-30,35.02403649719865,-96.102666638446,170.12014532913818,16.0,historical
2014-07-31,18.40260092439383,-104.55678436863016,141.71776616209453,51.0,historical
2014-08-01,29.469390435810396,-101.38563936905487,161.08263915002385,47.0,historical
2014-08-02,80.51147824603574,-44.90529755891996,216.38099336487886,56.0,historical
2014-08-03,34.98341170224987,-95.61105899363766,169.674293868551,45.0,historical
2014-08-04,6.9986189240457435,-122.75555383235198,135.83832971336386,40.0,historical
2014-08-05,5.058352370990967,-124.62255568590669,132.9077254768154,17.0,historical
2014-08-06,30.05306928258917,-88.48784308170455,150.40809864425637,103.0,historical
2014-08-07,15.73158429751011,-114.52461584521427,144.62508042418943,72.0,historical
2014-08-08,29.14692691950563,-106.85470858492512,159.53685199725223,56.0,historical
2014-08-09,82.53623403580963,-43.80889051905261,215.70977499479145,0.0,historical
2014-08-10,39.30403772205892,-83.45567644105283,167.97601114816737,1.0,historical
2014-08-11,13.441645534075072,-118.09015981933194,151.74340448231035,0.0,historical
2014-08-12,13.477654667294757,-116.59615266712497,136.97881254880554,0.0,historical
2014-08-13,40.26036861320257,-86.65806069112669,161.78270256963626,0.0,historical
2014-08-14,27.50150966533233,-116.8678782168972,159.10541220040434,0.0,historical
2014-08-15,42.22308094439575,-87.72933323029018,176.60809682979976,0.0,historical
2014-08-16,96.63808944394614,-25.077589145581015,224.45649942019259,0.0,historical
2014-08-17,54.13446723357547,-77.57553789847333,172.96849970764276,0.0,historical
2014-08-18,28.694870518896387,-95.63259240325905,160.27926240479175,0.0,historical
2014-08-19,28.84738653682689,-94.50112235401924,169.41138558644582,0.0,historical
2014-08-20,55.44791192295649,-71.32169780580251,174.44729350116177,68.0,historical
2014-08-21,42.22359746581307,-86.87082658971845,178.5375742962365,169.0,historical
2014-08-22,56.219220988087656,-78.68772976246527,188.05580694302887,213.0,historical
2014-08-23,109.67721421679545,-15.859312461922194,233.2111515607522,338.0,historical
2014-08-24,66.02070101485134,-62.163096368449516,206.26038306172165,129.0,historical
2014-08-26,38.00341726914837,-87.40525276393151,170.8543400972079,13.0,historical
2014-08-27,63.11582998111776,-71.51713993417947,193.57553635662288,85.0,historical
2014-08-28,48.383320352450895,-80.52514445346121,182.92518231656354,0.0,historical
2014-08-29,60.89693228450269,-63.33751304682225,187.64283118208982,0.0,historical
2014-08-30,112.9436123511168,-10.209869323117996,243.8359749524546,0.0,historical
2014-08-31,67.9879655828814,-54.33957253594907,188.45137815309997,0.0,historical
2014-09-01,40.08982062782421,-88.64830393850795,162.79283163988967,0.0,historical
2014-09-02,37.85269891493449,-94.17834651828481,159.45048676064795,0.0,historical
2014-09-03,62.20401624729196,-61.70090259598167,181.1695544758183,0.0,historical
2014-09-04,46.94880614255849,-82.66183009853019,169.46201020195636,0.0,historical
2014-09-05,59.17722972671308,-67.95377562054946,180.9880792792981,0.0,historical
2014-09-06,111.1799654795436,-18.623811179932474,236.5515314589256,0.0,historical
2014-09-07,66.41757075064689,-57.02856112679173,199.950729153225,0.0,historical
2014-09-08,38.938216271289605,-88.53801593101437,161.21288187063138,64.0,historical
2014-09-09,37.326552606275555,-94.16579571654972,167.80352698262433,154.0,historical
2014-09-10,62.484525994463596,-64.81428988934663,187.35771467964548,143.0,historical
2014-09-11,48.17358427211549,-81.53078540487866,176.22875927084488,96.0,historical
2014-09-12,61.46017103265709,-66.12679859493764,184.81821439677736,140.0,historical
2014-09-13,114.59525984151063,-8.305785975470615,236.05659162481717,67.0,historical
2014-09-14,70.99730060362072,-65.39763893752742,195.12301741325723,3.0,historical
2014-09-15,44.67128636206537,-84.98216338022631,164.0126153220938,71.0,historical
2014-09-16,44.15899182801892,-87.14258092449333,174.04294551933302,58.0,historical
2014-09-17,70.32116071843569,-56.03480153210337,190.98663587720932,62.0,historical
2014-09-18,56.88104192807139,-68.6120750663723,180.9288679774154,62.0,historical
2014-09-19,70.87113289972272,-52.23375507252877,195.28294591863778,62.0,historical
2014-09-20,124.51384422744346,0.24699256388592972,258.00496700818996,168.0,historical
2014-09-21,81.2054229186857,-55.117734614958586,210.82151745692371,99.0,historical
2014-09-22,54.935812031343524,-65.60925730776047,180.17616193727997,39.0,historical
2014-09-23,54.239472456514676,-71.03534878940789,181.59461380052542,64.0,historical
2014-09-24,79.97792417673354,-50.58564727896899,200.5055979704264,117.0,historical
2014-09-25,65.88339369800916,-52.280234499046735,189.41099013368864,104.0,historical
2014-09-26,79.00541952717838,-53.52904783683467,216.16051572548199,108.0,historical
2014-09-27,131.59113034505737,10.018989178417637,260.28551376630844,234.0,historical
2014-09-28,87.06854105954594,-43.46692846121432,200.09623131758178,97.0,historical
2014-09-29,59.46555922793528,-65.77874105820968,183.2021909790976,85.0,historical
2014-09-30,57.35974905182751,-77.00017995051337,183.29676735709523,88.0,historical
2014-10-01,81.65963784698161,-38.06451657168773,212.38457198675712,190.0,historical
2014-10-02,66.14698468316263,-64.6267119878011,195.77123191830012,163.0,historical
2014-10-03,77.92190063068942,-47.390317654602136,203.44494307285657,90.0,historical
2014-10-04,129.29112105784688,1.477137370843335,258.2788719409818,105.0,historical
2014-10-05,83.72109542560068,-48.8178789394979,207.19823072049516,47.0,historical
2014-10-06,55.284078589576104,-69.1792551320888,185.66549725778262,66.0,historical
2014-10-07,52.59686905699828,-76.3463124561683,180.6857425530897,84.0,historical
2014-10-08,76.60074613146115,-47.589210051902754,205.01174488014414,80.0,historical
2014-10-09,61.10252223993512,-68.36723525832507,188.04912082729203,97.0,historical
2014-10-10,73.2186375470624,-67.52431911324301,208.6840590150738,64.0,historical
2014-10-11,125.25308561296016,-2.3244866564264917,249.23362427613827,128.0,historical
2014-10-12,80.67858619411561,-47.807485946979135,206.13681197905169,85.0,historical
2014-10-13,53.55376338237381,-70.4301782514715,178.4887454055134,50.0,historical
2014-10-14,52.47143490099472,-75.86228829354366,174.4053269059306,91.0,historical
2014-10-15,78.33884726307369,-46.78705491974749,206.98829585901169,93.0,historical
2014-10-16,64.91931598807717,-59.058828202990604,190.9946329668952,50.0,historical
2014-10-17,79.27718828045116,-45.544599066627065,216.1048301114855,85.0,historical
2014-10-18,133.6568994548186,10.900694175248214,261.09384971167714,129.0,historical
2014-10-19,91.4655143191791,-30.044513295156012,220.79722042377787,119.0,historical
2014-10-20,66.69147998896538,-70.6528310223033,200.29350474127187,45.0,historical
2014-10-21,67.85465814025513,-45.748918712888184,200.5879208227886,78.0,historical
2014-10-22,95.78842844141673,-35.66473355990822,228.45525613818225,90.0,historical
2014-10-23,84.18327531849181,-46.967910286605644,213.2500962710664,78.0,historical
2014-10-24,100.03372552750525,-31.56670980704301,228.57843698551065,62.0,historical
2014-10-25,155.5193562906008,27.90557549191285,292.75151800576845,97.0,historical
2014-10-26,113.98921341730127,-15.32127715202621,237.2421971262605,111.0,historical
2014-10-27,89.38231519094586,-62.97658699390268,207.7175299077393,55.0,historical
2014-10-28,90.17926178000089,-41.207567261516715,223.96227044701374,60.0,historical
2014-10-29,117.18569740040148,-11.897164499192522,237.80546564089187,61.0,historical
2014-10-30,104.07699781417293,-27.88193185258228,224.9783461203855,81.0,historical
2014-10-31,117.84601710350154,-5.875423198673294,243.83656360494956,131.0,historical
2014-11-01,170.68458691763897,47.77452034785166,295.2453447150696,160.0,historical
2014-11-02,125.96808880885658,-4.349986838227225,260.06018012602345,131.0,historical
2014-11-03,97.70296701997333,-34.307821564243845,221.86588565947076,43.0,historical
2014-11-04,94.39618934009357,-34.753107824043376,218.0853784074584,34.0,historical
2014-11-05,116.91943100415173,-16.74644266724683,243.42606978721898,33.0,historical
2014-11-06,99.02534931378685,-29.890348656668078,226.648081844729,37.0,historical
2014-11-07,107.79381751963291,-18.30064500267037,233.44050080029615,82.0,historical
2014-11-08,155.51164126278678,23.90049373555673,276.16227724852286,542.0,historical
2014-11-09,105.65511755276728,-22.560142411546003,245.59939685160774,239.0,historical
2014-11-10,72.30814720339141,-50.96583735590558,206.04759193477435,51.0,historical
2014-11-11,64.11096950997332,-64.66866942561556,190.60133502200975,51.0,historical
2014-11-12,82.0403282020824,-52.659638985018375,203.18479819379485,41.0,historical
2014-11-13,59.950514443655,-64.99487083041443,193.45563061679218,1.0,historical
2014-11-14,65.0172036622496,-60.607575597030596,189.4348457817808,0.0,historical
2014-11-15,109.61486993058145,-13.4448312267972,229.71859812370877,1.0,historical
2014-11-16,57.29719453825678,-71.0426468815782,192.34981947219015,0.0,historical
2014-11-17,22.21323322782856,-105.54347067982418,138.35779569400412,0.0,historical
2014-11-18,13.054459965956568,-116.22075798127617,130.8342097341165,7.0,historical
2014-11-19,30.83353967365038,-98.26708171543515,157.82250692565037,1.0,historical
2014-11-20,9.42431226345547,-110.90410630432763,131.52875487755452,4.0,historical
2014-11-21,16.00493358621825,-113.5290261437876,138.34447935048556,1.0,historical
2014-11-22,62.93497732807024,-58.260516089748194,190.68953159636882,1.0,historical
2014-11-23,13.735925752359115,-108.7339369074549,139.80998680926245,2.0,historical
2014-11-24,-17.492184359668535,-150.54071433119353,102.13362182419064,0.0,historical
2014-11-25,-22.12285029444385,-154.83906422540204,116.45562321310094,0.0,historical
2014-11-26,0.7769089772848972,-136.218108632475,134.13336907321207,0.0,historical
2014-11-27,-15.01187740097069,-146.587208498481,125.40734748533185,0.0,historical
2014-11-28,-2.415093627097839,-132.4771861166979,126.28737506951167,0.0,historical
2014-11-29,50.813732229029064,-82.17286646975826,166.89436638065058,0.0,historical
2014-11-30,8.07630806120455,-113.38253016821588,129.92936929617628,0.0,historical
2014-12-01,-16.651219634603486,-144.36049947862836,110.5313591692523,0.0,historical
2014-12-02,-14.867688126209089,-135.1721243339824,116.10389899399071,0.0,historical
2014-12-03,14.281235869800817,-113.25304447031561,143.93767400517808,0.0,historical
2014-12-04,4.411046006569769,-113.72683250823464,122.05717229537719,0.0,historical
2014-12-05,22.482341662287297,-97.45844545336732,149.32929014346416,0.0,historical
2014-12-06,80.63715973550228,-49.266295860943565,211.70825814766013,0.0,historical
2014-12-07,42.18415029400332,-85.50394726556173,173.3053114578297,0.0,historical
2014-12-08,21.01982842472046,-103.5278442793611,152.61224374298558,0.0,historical
2014-12-09,25.580907134863224,-107.56985772909883,150.62226777190202,0.0,historical
2014-12-10,56.62844535955454,-67.0315090473131,185.83214679419328,0.0,historical
2014-12-11,47.793172482364106,-76.83423556902943,177.69715552629972,0.0,historical
2014-12-12,66.02381429414088,-55.152874051334194,199.7863672249791,0.0,historical
2014-12-13,123.46910684345607,-1.8585374400845718,256.5209412567264,0.0,historical
2014-12-14,83.46281434760783,-39.714356497425044,206.4250294774688,0.0,historical
2014-12-15,59.94441426850442,-73.82248245446573,182.95740565179707,0.0,historical
2014-12-16,61.410467485483466,-83.93797910781694,193.32565674641856,49.0,historical
2014-12-17,88.6974297832552,-41.91540002530803,215.92824878042344,157.0,historical
2014-12-18,75.52529674700216,-46.397085696771185,208.32220772353287,193.0,historical
2014-12-19,88.94394546607346,-37.8013595689776,229.03420437424762,94.0,historical
2014-12-20,141.21290482682718,5.009382047407545,263.5405832490969,135.0,historical
2014-12-21,95.78392166946384,-31.552351899557337,227.94992503952594,118.0,historical
2014-12-22,66.71904158485587,-63.27434722333142,194.86830310939317,18.0,historical
2014-12-23,62.63928120362351,-67.94406300286259,197.924734210592,0.0,historical
2014-12-24,84.50470899186982,-43.34199487915632,211.23784821784227,14.0,historical
2014-12-25,66.15538790766296,-50.416952239779036,194.31221433128098,0.0,historical
2014-12-26,74.75510362054146,-51.425199265404956,215.28152319824503,20.0,historical
2014-12-27,122.6686680538719,-5.434601012885859,251.06363642474085,42.0,historical
2014-12-28,73.44221984956421,-51.54964919883353,195.049219954498,45.0,historical
2014-12-29,41.21928999486795,-98.37442485315435,171.23576050143149,55.0,historical
